workers,speedup,real,user,system,memory_usage_mb
S,1.00,1.11 ± 0.13,2.32 ± 0.02,0.18 ± 0.00,102 ± 0.27
1,0.70,1.58 ± 0.04,2.47 ± 0.02,0.21 ± 0.01,199 ± 0.52
2,0.72,1.54 ± 0.03,2.72 ± 0.03,0.23 ± 0.00,296 ± 0.80
3,0.73,1.52 ± 0.03,3.04 ± 0.03,0.25 ± 0.01,392 ± 1.07
4,0.69,1.61 ± 0.11,3.24 ± 0.04,0.29 ± 0.01,489 ± 1.34
5,0.71,1.56 ± 0.03,3.47 ± 0.03,0.30 ± 0.00,586 ± 1.70
6,0.66,1.67 ± 0.06,3.72 ± 0.03,0.32 ± 0.01,683 ± 1.99
7,0.62,1.79 ± 0.10,3.93 ± 0.04,0.34 ± 0.01,780 ± 2.25
8,0.64,1.74 ± 0.04,4.20 ± 0.03,0.37 ± 0.01,877 ± 2.55
9,0.62,1.80 ± 0.03,4.41 ± 0.03,0.39 ± 0.01,973 ± 2.82
10,0.48,2.31 ± 0.38,4.55 ± 0.05,0.41 ± 0.01,1070 ± 3.12
11,0.55,2.02 ± 0.05,4.81 ± 0.04,0.43 ± 0.01,1167 ± 3.38
12,0.52,2.15 ± 0.04,5.10 ± 0.04,0.46 ± 0.01,1264 ± 3.65
13,0.42,2.67 ± 0.43,5.24 ± 0.04,0.49 ± 0.01,1361 ± 3.92
14,0.47,2.34 ± 0.08,5.37 ± 0.05,0.48 ± 0.01,1361 ± 3.91
15,0.45,2.45 ± 0.08,5.64 ± 0.04,0.51 ± 0.01,1545 ± 7.77
16,0.47,2.34 ± 0.06,5.79 ± 0.07,0.54 ± 0.01,1554 ± 4.50
