workers,speedup,real,user,system,memory_usage_mb
S,1.00,75.06 ± 0.73,74.41 ± 0.57,0.57 ± 0.02,393 ± 0.35
1,0.97,77.37 ± 0.38,75.21 ± 0.36,0.67 ± 0.02,484 ± 0.62
2,1.73,43.29 ± 0.14,80.75 ± 0.20,0.83 ± 0.01,840 ± 0.82
3,2.29,32.81 ± 0.10,88.02 ± 0.18,1.09 ± 0.01,1199 ± 1.23
4,2.77,27.08 ± 0.05,91.16 ± 2.01,1.30 ± 0.03,1523 ± 31.69
5,3.16,23.74 ± 0.10,97.66 ± 0.23,1.53 ± 0.02,1910 ± 1.70
6,3.44,21.84 ± 0.23,102.44 ± 0.36,1.79 ± 0.03,2266 ± 1.87
7,3.65,20.57 ± 0.36,106.39 ± 1.35,2.01 ± 0.04,2589 ± 31.67
8,3.76,19.94 ± 0.31,111.90 ± 0.40,2.34 ± 0.02,2979 ± 2.46
9,3.82,19.65 ± 0.42,115.61 ± 0.27,2.55 ± 0.03,3331 ± 2.74
10,3.78,19.87 ± 0.30,118.06 ± 1.21,2.79 ± 0.03,3621 ± 41.47
11,3.74,20.07 ± 0.19,122.24 ± 1.45,2.98 ± 0.04,3980 ± 41.25
12,3.70,20.31 ± 0.20,128.46 ± 0.29,3.35 ± 0.04,4402 ± 3.54
13,3.67,20.48 ± 0.25,130.92 ± 1.33,3.53 ± 0.05,4693 ± 43.07
14,3.60,20.83 ± 0.23,136.32 ± 0.96,3.79 ± 0.04,5083 ± 32.24
15,3.48,21.60 ± 0.19,141.99 ± 0.99,4.10 ± 0.05,5469 ± 4.39
16,3.41,22.01 ± 0.20,144.60 ± 0.61,4.30 ± 0.04,5831 ± 4.73
